DSP_1005580000422_D_A02.dcc	DSP_1005580000422_D_A03.dcc	DSP_1005580000422_D_A08.dcc	DSP_1005580000422_D_A09.dcc	DSP_1005580000422_D_A10.dcc	DSP_1005580000422_D_A11.dcc	DSP_1005580000422_D_A12.dcc	DSP_1005580000422_D_B01.dcc	DSP_1005580000422_D_B06.dcc	DSP_1005580000422_D_B07.dcc	DSP_1005580000422_D_B08.dcc	DSP_1005580000422_D_B09.dcc	DSP_1005580000422_D_B10.dcc	DSP_1005580000422_D_B11.dcc	DSP_1005580000422_D_B12.dcc	DSP_1005580000422_D_C01.dcc	DSP_1005580000422_D_C04.dcc	DSP_1005580000422_D_C05.dcc	DSP_1005580000422_D_C06.dcc	DSP_1005580000422_D_C07.dcc	DSP_1005580000422_D_C10.dcc	DSP_1005580000422_D_C11.dcc	DSP_1005580000422_D_C12.dcc	DSP_1005580000422_D_D01.dcc	DSP_1005580000422_D_D04.dcc	DSP_1005580000422_D_D05.dcc	DSP_1005580000422_D_D08.dcc	DSP_1005580000422_D_D09.dcc	DSP_1005580000422_D_D10.dcc	DSP_1005580000422_D_D11.dcc	DSP_1005580000422_D_D12.dcc	DSP_1005580000422_D_E01.dcc
1700006A11Rik	2	6	6	11	2	6	6	7	1	8	3	14	4	11	1	5	1	1	0	2	0	2	0	1	1	2	2	6	5	0	1	3
1700007K13Rik	2	8	4	13	4	4	8	16	5	10	1	13	0	10	3	9	0	2	4	2	1	6	1	4	4	4	2	3	4	2	3	3
1700008O03Rik	2	9	4	8	3	14	5	9	6	7	6	16	5	6	5	14	2	1	7	1	4	3	1	2	3	2	1	2	1	1	2	6
1700008P02Rik	3	1	4	6	2	5	2	8	4	6	2	7	1	5	2	2	0	1	2	2	3	2	0	4	2	3	1	2	1	1	1	2
1700009N14Rik	1	8	5	10	4	6	3	7	3	11	1	15	1	4	1	9	0	0	4	3	2	1	3	1	2	6	2	3	4	1	1	3
1700010B08Rik	2	5	4	6	1	7	7	5	5	12	6	13	4	4	1	6	2	2	3	2	0	0	0	1	1	0	1	2	0	2	0	2
1700010I14Rik	4	9	7	7	2	9	8	11	5	10	5	16	6	14	3	9	1	2	4	4	1	4	0	2	1	1	2	11	3	2	2	5
1700011L22Rik	3	8	2	11	2	6	4	7	3	8	2	6	5	10	2	8	0	2	0	1	1	4	3	0	0	0	3	3	1	1	2	2
1700012A03Rik	7	6	2	10	4	6	4	9	4	14	4	17	5	8	5	2	3	2	2	2	1	3	0	1	4	2	3	5	2	5	0	3
1700012B07Rik	4	6	3	11	4	7	5	8	4	12	10	17	7	7	3	6	1	0	2	1	2	2	1	4	3	0	4	3	0	1	1	1
1700012B09Rik	4	5	4	11	4	7	3	11	2	10	7	16	2	8	4	7	2	1	0	1	3	1	3	3	2	3	6	1	1	0	3	3
1700012P22Rik	2	12	5	8	3	4	7	8	4	7	2	15	4	4	6	8	1	2	3	2	0	1	2	1	2	4	4	2	2	0	4	1
1700013D24Rik	1	32	5	17	5	6	7	9	3	9	0	24	0	8	4	6	2	1	4	2	1	2	0	2	0	4	0	0	1	2	3	4
1700013F07Rik	3	9	2	14	3	8	4	17	2	10	2	14	3	9	2	6	3	2	1	3	2	2	0	0	3	1	2	2	3	2	2	4
1700013G24Rik	3	6	2	8	2	7	3	10	5	5	3	8	4	7	4	3	0	1	0	0	1	4	1	0	0	0	2	2	0	0	4	3
1700013H16Rik	2	6	8	12	2	4	2	13	8	13	3	15	6	5	3	9	1	0	3	1	2	3	1	0	1	1	2	1	2	1	0	3
Pttg1ip2	2	3	1	14	4	8	3	15	4	8	6	15	1	7	1	8	3	2	1	5	2	0	0	1	4	0	2	4	0	0	2	7
1700015G11Rik	7	5	2	10	8	3	3	7	4	12	10	13	6	12	8	7	2	3	1	3	3	3	4	2	3	1	2	1	2	1	1	3
1700016C15Rik	3	10	4	7	3	3	4	11	4	6	6	14	6	10	7	4	2	1	4	2	1	2	2	1	4	1	1	3	0	1	1	2
1700016D06Rik	2	12	6	12	2	7	3	10	9	8	3	14	4	8	4	8	0	1	3	5	3	3	2	2	1	1	2	6	2	2	2	2
1700016H13Rik	2	6	2	7	1	3	6	3	4	14	3	14	4	3	5	7	2	3	2	0	2	3	1	0	0	2	2	4	5	2	0	1
1700016K19Rik	2	9	7	14	2	9	5	6	3	11	5	17	6	8	4	4	2	5	3	2	0	2	2	0	0	0	2	4	4	2	6	6
1700017B05Rik	3	6	3	8	2	5	6	3	1	16	2	16	2	5	0	4	3	1	2	4	4	0	1	4	4	1	3	1	0	2	1	6
1700017N19Rik	0	6	3	7	1	8	1	13	6	17	2	12	2	10	6	4	1	2	1	2	1	3	0	1	2	1	2	3	1	3	1	1
1700018B08Rik	3	5	4	12	2	7	4	14	4	7	4	24	2	14	2	8	1	0	2	1	1	2	1	4	2	0	1	3	0	2	0	1
1700018F24Rik	2	6	6	6	0	4	3	9	3	6	3	11	0	5	4	5	3	4	1	0	3	3	1	0	1	4	1	3	1	3	3	5
1700018G05Rik	1	8	1	8	8	4	3	14	3	7	4	15	2	14	4	9	1	2	2	2	2	1	2	1	2	1	1	5	1	2	6	1
1700019A02Rik	1	4	7	10	7	8	10	12	5	12	3	14	6	7	0	7	0	2	1	4	3	0	2	6	3	0	1	7	1	1	3	3
1700019D03Rik	4	4	5	13	2	4	9	14	7	15	2	17	4	12	2	8	3	2	6	8	1	7	3	5	4	8	2	11	4	2	2	12
1700019N19Rik	2	11	7	15	5	7	8	5	3	15	1	11	4	4	7	10	2	4	3	0	1	0	2	2	3	0	2	5	1	2	2	5
1700020A23Rik	7	6	6	8	3	3	5	9	7	3	5	13	5	12	3	9	1	1	1	1	1	2	1	2	1	0	2	1	1	1	2	4
Nscme3l	4	12	5	16	4	5	5	8	6	16	4	13	5	7	3	8	1	6	4	4	4	5	2	4	1	2	2	3	2	2	1	8
1700020L24Rik	2	7	3	10	3	6	6	16	9	7	6	14	3	9	1	5	4	7	11	6	5	8	3	5	10	5	9	15	6	9	7	16
1700020N01Rik	3	2	2	6	0	2	3	8	3	7	1	11	2	6	3	10	1	0	3	1	3	1	1	3	1	1	1	3	1	0	2	1
1700020N15Rik	7	5	3	13	3	7	6	9	10	10	5	18	3	5	4	14	1	3	4	3	2	6	2	0	1	3	6	7	1	0	1	7
1700021F07Rik	3	10	2	10	1	6	3	10	4	7	1	11	3	13	9	5	2	3	0	1	3	3	2	0	4	2	4	4	1	3	4	0
1700022I11Rik	7	6	6	8	4	2	7	11	3	15	0	8	3	12	4	7	1	4	3	1	0	1	2	1	1	0	2	4	2	2	1	5
1700024G13Rik	2	9	5	10	3	2	3	6	8	13	5	9	2	9	4	7	2	2	1	4	1	6	3	2	2	2	1	2	2	2	1	6
1700024J04Rik	4	6	3	11	1	8	3	16	5	6	5	15	1	8	0	5	0	5	5	1	2	4	1	2	1	3	2	6	1	1	0	6
1700025C18Rik	3	3	7	11	5	8	3	8	8	10	6	13	5	5	4	7	1	0	3	1	1	1	1	1	1	1	1	2	2	0	1	2
1700025G04Rik	7	10	8	10	3	4	2	11	4	13	3	20	3	14	3	12	14	18	11	11	7	18	19	11	11	6	9	27	11	7	13	18
1700028J19Rik	3	8	2	15	1	5	6	10	3	8	2	16	8	16	4	5	6	2	3	4	2	3	3	4	4	2	5	3	2	1	6	10
1700028K03Rik	4	11	5	11	5	6	4	10	7	19	4	13	3	7	6	11	2	6	5	4	0	5	2	1	3	4	1	6	2	1	3	1
1700028P14Rik	2	7	5	6	2	9	6	10	9	8	1	12	2	13	2	8	0	0	4	2	2	0	0	1	4	2	3	1	0	2	5	4
1700029F12Rik	2	4	3	9	2	4	5	10	2	6	8	17	2	10	4	17	2	0	2	1	1	4	0	1	2	2	0	4	1	1	0	4
1700029H14Rik	3	6	2	4	0	6	1	9	2	8	1	20	2	11	5	4	2	1	3	3	1	1	2	1	1	1	0	4	1	2	1	3
1700029I15Rik	3	3	3	9	7	6	4	8	4	10	6	13	2	10	5	16	1	2	5	1	3	3	3	7	0	2	0	4	1	2	0	3
1700029J07Rik	3	7	5	6	5	6	4	10	12	4	2	7	3	8	6	8	0	1	3	1	1	5	4	2	3	2	3	3	4	2	1	4
Ndufb11b	2	9	5	14	4	8	1	5	5	16	6	9	4	6	3	7	0	2	2	1	0	0	1	1	3	0	4	5	2	1	2	1
1700030J22Rik	2	17	10	10	8	5	10	8	1	15	2	17	5	13	3	2	5	1	2	3	6	1	2	1	4	4	2	6	3	1	6	7
1700030K09Rik	5	2	5	2	6	7	4	6	1	6	2	19	3	13	3	8	2	3	4	3	2	3	1	4	4	3	1	2	2	2	3	5
1700031F05Rik	2	6	4	9	1	14	3	5	6	14	4	12	3	11	1	12	1	3	3	3	3	3	1	2	1	1	1	4	2	1	2	4
1700034E13Rik	2	4	4	5	3	7	6	9	1	9	1	11	2	8	4	5	2	2	0	1	2	4	1	4	0	2	2	2	0	3	2	3
