DSP_1005580000422_D_A02.dcc	DSP_1005580000422_D_A03.dcc	DSP_1005580000422_D_A08.dcc	DSP_1005580000422_D_A09.dcc	DSP_1005580000422_D_A10.dcc	DSP_1005580000422_D_A11.dcc	DSP_1005580000422_D_A12.dcc	DSP_1005580000422_D_B01.dcc	DSP_1005580000422_D_B06.dcc	DSP_1005580000422_D_B07.dcc	DSP_1005580000422_D_B08.dcc	DSP_1005580000422_D_B09.dcc	DSP_1005580000422_D_B10.dcc	DSP_1005580000422_D_B11.dcc	DSP_1005580000422_D_B12.dcc	DSP_1005580000422_D_C01.dcc	DSP_1005580000422_D_C04.dcc	DSP_1005580000422_D_C05.dcc	DSP_1005580000422_D_C06.dcc	DSP_1005580000422_D_C07.dcc	DSP_1005580000422_D_C10.dcc	DSP_1005580000422_D_C11.dcc	DSP_1005580000422_D_C12.dcc	DSP_1005580000422_D_D01.dcc	DSP_1005580000422_D_D04.dcc	DSP_1005580000422_D_D05.dcc	DSP_1005580000422_D_D08.dcc	DSP_1005580000422_D_D09.dcc	DSP_1005580000422_D_D10.dcc	DSP_1005580000422_D_D11.dcc	DSP_1005580000422_D_D12.dcc	DSP_1005580000422_D_E01.dcc
Decr2	4	3	3	13	6	8	9	6	3	9	1	10	5	7	1	5	3	8	9	8	12	15	1	13	6	7	10	14	10	5	6	15
Dedd	4	11	4	11	2	10	4	5	2	16	4	13	2	9	4	12	9	17	13	16	8	8	4	10	7	8	6	17	8	10	7	16
Dedd2	4	11	3	11	1	12	8	10	4	13	0	26	3	12	1	5	4	2	3	4	2	7	3	3	5	3	4	6	5	3	2	8
Def6	2	11	4	18	1	7	5	9	3	9	3	19	1	4	4	3	0	0	4	3	0	3	3	3	3	3	1	5	2	1	5	7
Def8	4	3	3	11	8	4	4	8	3	11	4	11	7	9	2	9	7	26	11	11	12	16	10	15	11	18	12	23	9	9	12	31
Defa17	3	6	11	10	2	6	4	17	4	29	3	16	4	12	2	5	2	3	2	6	5	10	3	4	2	3	0	7	3	4	6	18
Defa2	5	13	3	13	4	10	4	10	6	18	10	19	6	5	3	5	1	2	3	4	1	7	3	1	1	3	3	2	5	2	4	4
Defa29	2	6	4	15	4	10	6	7	9	18	4	14	4	3	3	7	2	1	2	2	1	4	0	4	3	3	2	2	3	1	1	10
Defa34	1	8	5	15	3	12	11	14	8	19	3	19	3	7	2	3	1	7	0	2	4	5	5	5	2	5	6	5	3	2	4	5
Defa40	2	11	3	11	3	5	5	7	2	16	2	18	5	8	3	6	39	25	54	18	29	35	21	26	37	24	28	41	35	24	40	53
Defa41	1	6	6	2	3	6	5	4	5	10	3	3	2	2	0	4	1	1	1	4	1	6	2	1	2	4	3	5	1	3	2	2
Defa-rs10	3	1	4	11	1	3	1	4	5	12	7	17	1	7	4	8	2	0	1	0	0	0	1	1	0	0	5	3	1	2	2	4
Defa-rs4	2	6	4	4	5	3	6	14	5	4	2	6	0	9	2	9	2	3	2	2	2	0	1	0	0	1	0	0	2	0	2	1
Defb1	3	5	1	11	3	7	4	11	4	15	1	19	3	8	3	8	1	2	4	1	0	2	2	2	1	2	3	4	0	1	1	1
Defb10	1	4	6	8	5	2	3	8	8	9	4	11	8	7	2	7	0	2	4	1	4	1	0	0	3	2	2	3	3	1	2	2
Defb11	3	4	6	9	2	5	1	9	4	11	3	22	1	9	4	9	3	2	4	2	0	2	1	1	3	3	1	1	3	0	3	1
Defb13	2	8	5	12	3	6	1	10	9	6	3	11	0	8	4	7	1	2	3	0	1	1	1	1	1	1	4	3	2	1	2	0
Defb14	3	9	3	8	1	7	4	6	4	9	4	10	6	5	3	3	1	0	1	2	1	2	1	0	1	1	1	6	3	2	3	5
Defb18	2	7	2	11	0	4	2	17	3	8	3	12	5	5	2	6	0	2	2	4	3	3	0	1	1	2	1	1	1	3	2	3
Defb19	1	5	4	13	5	6	2	7	7	11	3	19	3	6	2	8	0	3	1	3	1	3	2	0	3	1	5	6	1	0	2	3
Defb2	2	6	7	12	6	5	5	9	2	10	2	15	2	12	1	3	2	2	3	5	1	1	2	2	2	1	3	1	2	2	2	3
Defb20	3	7	2	8	7	7	5	12	9	6	8	15	2	9	3	8	2	2	3	1	2	1	3	3	4	0	2	5	3	1	4	3
Defb21	3	8	4	13	2	7	5	10	6	16	5	18	4	6	6	10	1	4	2	1	0	1	2	0	0	1	1	3	3	1	3	3
Defb22	1	7	6	14	3	6	7	5	7	8	4	10	1	9	2	5	1	3	2	1	3	0	1	0	0	0	1	1	1	0	3	4
Defb23	5	8	5	8	2	8	11	7	3	10	0	10	3	8	4	7	1	0	3	3	0	2	2	0	2	5	1	2	3	1	0	5
Defb25	5	9	6	12	3	13	2	13	5	15	5	9	3	7	8	8	2	0	1	2	2	1	3	1	2	1	1	2	0	0	1	3
Defb26	1	1	3	19	2	6	1	8	3	7	2	8	3	9	0	5	1	1	1	0	0	3	2	0	3	1	4	4	3	2	1	4
Defb28	1	2	6	8	4	9	5	8	6	15	6	7	7	7	4	8	2	1	1	2	2	4	2	1	4	1	2	4	0	5	3	5
Defb29	2	2	5	12	4	5	3	14	5	6	6	13	5	8	5	8	2	2	1	2	1	0	2	3	0	1	3	2	5	0	4	5
Defb3	3	8	3	10	5	5	6	5	0	12	5	16	3	7	0	11	1	4	2	0	2	4	1	0	2	0	1	4	3	2	3	6
Defb30	1	8	2	7	3	5	5	6	7	7	6	13	3	7	2	6	0	2	4	3	2	3	1	1	1	0	3	5	1	1	2	3
Defb33	1	4	5	8	0	3	4	8	4	13	3	9	6	3	4	7	3	2	1	2	1	1	4	0	4	1	1	3	2	1	1	1
Defb34	4	4	5	10	2	6	5	16	2	15	3	14	3	6	1	11	1	2	3	3	1	2	0	0	0	3	1	3	1	0	3	3
Defb35	2	6	1	4	3	2	7	8	3	3	1	10	3	11	3	2	4	3	2	0	0	4	0	1	1	1	2	1	4	0	2	2
Defb36	3	6	3	11	5	6	1	10	3	11	5	17	3	7	5	9	1	1	2	0	2	0	3	1	1	4	3	2	1	0	1	2
Defb37	2	6	5	13	4	2	5	11	1	14	5	10	1	11	7	5	2	2	4	1	1	2	2	2	2	1	2	3	1	1	1	3
Defb38	4	10	2	11	5	5	7	15	5	13	6	23	4	8	4	4	2	1	4	1	0	5	1	2	2	0	2	7	0	1	3	2
Defb39	4	4	3	13	3	13	3	10	8	12	5	18	4	8	5	11	3	1	3	1	1	3	3	1	1	0	7	4	0	1	1	5
Defb4	8	10	5	9	5	10	9	7	2	8	2	9	1	7	2	8	1	1	0	2	0	3	2	2	1	2	1	1	1	0	2	3
Defb40	2	6	2	9	4	7	5	11	4	11	6	12	2	10	1	10	2	1	3	2	1	1	2	1	1	4	0	2	3	2	0	2
Defb41	1	4	5	16	3	6	5	12	5	16	8	17	3	11	7	10	0	1	3	2	2	1	2	4	2	1	0	1	3	0	3	1
Defb42	3	9	0	15	2	2	6	3	4	10	1	8	2	8	5	11	3	1	2	4	3	1	1	2	3	1	1	4	3	1	3	5
Defb43	3	7	5	15	5	6	3	11	4	13	5	13	4	12	5	8	0	1	2	2	2	3	3	1	0	2	1	1	5	1	1	2
Defb45	0	7	3	6	1	5	3	11	6	7	4	13	5	7	1	3	2	1	1	0	0	2	1	2	2	0	3	3	3	1	3	3
Defb46	4	12	2	11	2	2	8	10	4	11	11	9	6	8	1	7	1	0	3	1	1	3	0	1	1	2	3	3	2	1	0	11
Defb47	3	2	5	10	5	6	1	12	5	12	2	11	2	8	2	10	0	1	1	1	2	1	6	1	3	3	5	2	1	2	1	4
Defb48	1	9	6	8	4	5	4	7	3	6	1	17	4	10	1	5	2	2	0	2	0	3	0	0	0	2	0	3	5	2	0	3
Defb5	4	5	4	8	3	5	5	8	4	6	0	13	3	3	0	10	0	2	1	2	2	3	1	1	3	1	2	4	1	0	4	4
Defb50	0	8	7	13	3	10	10	11	3	8	5	11	1	14	2	9	3	1	3	2	0	0	3	2	4	0	4	1	1	1	2	5
Defb6	2	7	5	7	0	8	3	10	5	16	2	9	2	11	4	7	2	4	3	2	1	4	2	2	1	0	5	0	2	2	4	3
Defb7	4	4	2	11	4	6	1	9	5	7	6	12	5	8	1	9	2	0	4	1	0	0	3	1	1	2	4	5	1	1	2	6
Defb8	7	6	10	9	5	3	2	17	5	9	6	18	1	7	6	6	2	3	2	2	1	2	3	0	2	1	3	4	0	1	4	5
Defb9	4	9	7	12	2	4	6	10	4	12	4	9	5	8	3	5	2	2	1	2	1	6	0	4	0	2	2	3	1	0	2	6
Degs1	5	4	3	12	1	8	6	16	5	16	6	13	4	11	4	7	26	16	27	10	20	15	23	13	25	21	24	31	36	18	41	23
Degs2	3	3	5	9	0	9	2	11	7	7	5	6	2	7	2	2	0	3	3	1	0	1	2	0	3	0	3	1	1	0	1	3
Dek	2	6	3	15	0	8	6	16	3	25	5	16	7	13	5	6	6	6	6	8	2	6	7	2	3	2	7	13	3	4	8	11
Dele1	3	2	7	5	1	5	6	11	5	13	3	17	2	11	6	5	1	5	6	5	2	5	7	4	6	2	6	12	6	2	7	11
Denn2b	4	7	4	12	1	5	4	12	4	11	4	20	2	9	5	5	2	3	7	5	5	10	4	5	4	4	2	6	3	4	2	6
Dennd11	6	5	2	11	2	6	11	8	2	126	4	11	3	10	2	8	1	7	7	8	3	4	0	3	8	10	4	15	4	1	11	13
Dennd1a	7	7	2	7	3	6	1	13	5	18	6	20	3	10	3	9	15	21	14	13	10	22	7	11	6	11	12	20	16	12	15	32
Dennd1b	3	4	9	15	1	13	6	7	5	8	2	11	4	8	6	8	5	18	12	9	10	9	4	13	7	5	4	17	6	10	14	20
Dennd1c	1	8	2	19	2	7	2	10	7	11	7	25	2	6	3	8	0	2	4	1	2	3	3	1	4	2	3	4	1	2	1	5
Dennd2a	2	11	2	13	3	2	5	7	4	7	5	7	7	13	4	7	2	1	5	0	1	8	2	1	4	1	6	13	4	1	3	10
Dennd2c	3	9	9	7	1	10	3	7	9	9	5	10	0	8	3	9	1	3	2	1	3	5	0	0	0	1	5	5	3	1	0	1
Dennd2d	2	9	4	5	4	4	8	8	5	18	8	11	1	13	1	6	3	1	0	2	1	4	1	1	1	1	2	3	1	3	2	5
Dennd3	4	7	5	7	0	4	2	9	3	6	6	13	4	5	2	9	2	2	7	0	0	4	1	0	6	0	3	3	1	1	2	4
Dennd4a	4	14	5	15	4	10	2	13	4	13	2	22	5	12	5	16	13	16	7	9	12	14	3	15	8	10	14	23	7	9	17	22
Dennd4b	7	8	4	18	1	4	6	10	8	12	3	14	6	5	3	8	9	12	4	8	13	13	5	8	3	11	5	20	9	5	5	17
Dennd4c	4	7	6	6	4	4	2	7	6	8	2	17	3	6	1	5	3	2	3	3	5	2	1	2	2	2	1	10	3	4	3	4
Dennd5a	5	15	7	26	5	11	7	16	10	21	4	20	7	19	3	11	18	43	29	42	21	48	19	36	20	24	28	65	33	37	29	63
Dennd5b	4	7	2	14	0	2	10	8	6	12	2	16	5	9	2	7	18	39	15	24	25	35	15	21	7	17	8	41	21	24	18	46
Dennd6a	2	11	5	21	3	2	3	14	3	11	7	18	5	10	6	13	10	6	6	13	5	11	5	10	8	7	12	18	4	6	8	19
Dennd6b	3	9	7	9	3	5	4	7	4	13	2	17	5	10	1	9	12	42	21	26	8	32	17	20	14	16	9	53	12	36	9	62
Denr	3	7	2	17	3	5	7	13	7	20	4	12	0	17	2	8	20	22	33	17	13	21	14	13	13	24	22	40	23	20	28	31
Depdc1a	4	9	2	10	4	5	5	11	3	15	9	14	4	8	6	9	0	6	0	3	1	3	4	2	2	1	0	3	3	2	0	7
Depdc1b	4	5	5	17	3	4	4	7	3	10	6	13	4	8	2	4	0	4	5	0	2	0	3	1	4	3	4	2	2	0	2	6
Depdc5	2	7	5	15	2	2	4	7	3	6	2	13	5	7	3	8	11	12	10	20	5	18	4	12	9	13	9	23	10	14	5	18
Depdc7	1	6	3	8	5	14	6	8	6	13	4	9	8	6	2	6	0	1	4	3	3	2	1	2	1	2	2	5	3	1	0	8
Depp1	1	6	3	11	2	9	4	8	4	5	0	12	0	5	0	4	1	0	0	3	3	3	1	1	2	1	2	6	2	0	3	0
Deptor	6	8	5	15	1	4	3	12	5	18	4	20	3	20	5	4	3	7	2	5	2	3	2	3	6	1	3	8	4	8	4	7
Dera	4	6	4	14	2	5	5	12	2	12	7	12	6	11	3	4	1	1	5	3	2	1	3	4	2	1	3	4	4	0	6	4
Derl1	4	7	7	5	2	6	5	13	4	20	5	18	1	11	2	7	18	8	21	12	16	16	7	10	12	12	9	19	16	7	19	17
Derl2	3	7	5	13	2	6	6	13	7	13	5	27	3	9	3	3	2	4	8	0	3	7	2	3	2	4	4	13	8	6	4	9
Derl3	3	12	5	20	5	7	8	10	7	9	2	22	2	16	7	9	2	2	2	3	3	3	2	3	1	4	3	4	2	3	2	6
Des	0	4	11	14	1	3	7	4	7	9	5	15	5	14	3	11	0	1	1	3	0	2	2	2	5	2	2	1	2	1	2	4
Desi1	5	9	4	10	5	6	7	13	6	12	5	8	5	11	4	8	28	30	30	38	22	23	7	27	19	27	21	56	28	26	21	48
Desi2	0	11	3	8	2	7	9	7	3	18	5	13	1	7	3	2	6	3	6	4	1	5	3	5	3	6	2	17	0	7	2	14
Det1	2	2	1	16	1	10	2	9	2	12	2	9	6	6	3	2	2	5	5	3	1	5	0	3	4	2	4	4	6	4	4	10
Deup1	5	8	5	16	2	4	8	6	3	6	2	11	2	8	2	8	2	1	1	3	2	4	3	2	4	1	1	5	0	0	4	2
Dexi	3	7	0	10	4	6	2	9	4	5	4	10	3	8	1	6	18	11	19	10	11	19	7	18	12	10	19	35	13	10	16	29
Dffa	1	7	2	12	0	4	4	12	9	11	4	11	5	10	1	5	46	14	54	15	38	19	28	11	41	13	37	32	41	17	87	36
Dffb	1	10	2	8	1	8	1	4	3	10	2	11	3	7	4	7	2	3	4	1	4	3	0	2	1	3	2	2	0	0	0	2
Dgat1	3	3	3	9	0	6	1	7	5	9	3	15	0	5	3	6	5	7	5	13	1	8	0	6	2	4	3	21	11	4	6	19
Dgat2l6	9	10	8	14	5	5	4	10	9	13	6	10	2	11	4	2	3	1	3	4	1	3	2	1	1	2	2	3	1	1	7	2
Dgcr2	3	5	4	11	5	9	8	9	5	17	2	22	6	7	4	9	13	12	6	22	12	15	8	21	9	15	8	30	13	10	15	27
Dgcr6	3	8	1	6	4	5	5	9	4	6	2	20	6	3	2	13	6	4	9	9	4	10	6	7	7	12	4	27	9	11	17	20
Dgcr8	4	13	1	18	0	7	11	11	9	15	5	10	4	10	4	10	7	10	9	9	5	9	3	6	6	6	4	12	5	7	7	18
Dgka	2	3	3	12	1	7	8	12	3	17	5	14	3	13	3	10	3	8	8	3	8	10	4	3	4	1	6	5	2	3	7	8
Dgkb	3	6	1	10	6	7	5	9	3	8	1	10	1	7	6	6	8	15	7	15	8	18	2	11	6	8	4	10	11	8	6	34
Dgkd	2	11	4	17	3	5	8	10	5	10	5	9	1	6	5	8	8	11	9	5	9	10	7	10	6	7	7	19	8	8	10	17
Dgke	3	5	2	18	3	2	1	9	4	8	2	15	4	7	4	7	7	25	16	21	17	28	6	18	11	22	8	34	14	26	22	38
Dgkg	3	3	3	8	5	1	4	9	8	12	2	20	3	6	1	5	12	13	18	8	16	12	13	8	10	10	10	17	7	9	10	39
Dgki	5	7	8	13	1	3	9	9	6	14	5	9	4	12	4	7	10	18	6	13	11	16	12	13	7	8	4	24	10	8	18	34
Dgkk	3	6	7	14	3	11	6	12	2	10	4	11	4	13	2	11	1	5	2	1	3	5	1	3	2	2	5	6	7	0	11	5
Dgkq	2	8	4	15	5	9	10	14	5	12	6	14	4	10	8	7	12	26	11	16	6	15	12	11	8	10	6	23	10	7	11	24
Dgkz	5	4	5	12	3	7	4	8	3	10	3	12	5	6	4	11	11	14	10	10	14	25	10	13	6	20	7	23	18	10	11	31
Dglucy	8	6	3	9	0	8	3	10	4	5	7	15	3	5	3	7	9	7	7	5	4	5	2	1	0	8	5	11	2	3	2	13
Dguok	3	5	10	15	5	8	8	13	3	14	6	28	7	11	5	11	14	5	4	7	5	7	5	6	5	9	6	3	3	3	7	11
Dhcr24	6	11	5	23	2	12	3	18	4	26	6	28	2	14	3	13	61	46	94	45	55	55	35	39	39	47	63	82	50	42	76	93
Dhcr7	6	7	4	10	1	7	7	13	7	11	4	10	4	5	5	9	21	10	21	14	9	11	8	6	17	8	13	15	15	9	9	16
Dhdds	4	6	3	10	5	7	3	13	2	17	6	6	7	9	3	10	21	18	23	21	14	21	8	17	14	17	17	34	23	20	29	42
Dhdh	3	10	9	15	10	7	6	11	5	13	2	19	3	8	2	9	1	3	2	3	1	5	1	0	2	2	4	3	0	0	1	3
Dhfr	5	3	6	10	2	6	5	14	8	16	4	11	4	8	3	10	2	3	5	5	3	0	1	4	7	4	3	6	4	4	2	7
Dhh	3	7	2	14	4	9	7	15	4	15	3	18	1	14	1	6	2	1	0	1	2	1	1	1	0	0	1	3	2	0	0	7
Dhodh	4	12	3	21	6	9	9	11	4	15	7	14	2	12	4	5	5	8	2	4	3	6	5	5	2	5	3	5	3	2	5	5
Dhps	4	3	3	10	3	1	3	8	9	17	4	21	3	7	4	4	2	6	6	9	10	9	6	5	2	7	3	10	6	2	8	13
Dhrs1	2	4	4	11	0	9	5	9	2	12	2	7	1	7	0	8	17	6	11	5	15	7	13	8	17	4	11	19	14	6	15	18
Dhrs11	3	2	4	8	6	4	1	9	5	11	6	8	3	7	4	3	2	12	7	10	3	6	3	7	3	5	9	13	2	5	5	14
Dhrs13	1	13	5	13	2	2	7	19	4	7	8	12	4	11	5	9	7	5	10	4	1	7	4	5	4	6	1	12	7	5	2	13
Dhrs2	5	8	1	9	2	5	3	6	4	17	3	11	2	10	1	5	1	0	2	3	0	1	0	1	2	0	6	3	1	1	2	6
Dhrs3	5	10	2	23	3	7	3	18	8	14	4	21	3	9	5	12	4	2	5	0	2	2	4	3	2	1	2	5	4	0	5	3
Dhrs4	1	3	6	8	3	4	6	8	6	9	1	12	2	5	5	5	3	1	2	1	2	1	3	1	0	1	2	1	4	0	7	3
Dhrs7	4	7	4	13	4	6	10	12	3	18	5	14	7	4	0	9	7	11	5	10	7	10	10	10	3	11	13	19	11	10	4	15
Dhrs7b	8	7	2	9	5	8	4	11	3	16	6	17	3	10	0	10	6	10	9	4	9	8	5	4	3	12	4	12	8	8	5	8
Dhrs7c	1	6	3	8	4	8	5	10	6	15	0	14	3	10	0	4	3	2	2	1	0	1	2	3	2	1	1	9	1	1	3	5
Dhrs9	6	9	6	8	3	7	5	10	4	9	3	22	2	10	7	10	2	2	4	4	2	5	2	4	0	3	3	0	3	3	4	7
Dhrsx	3	8	5	9	3	8	3	7	0	8	4	20	3	2	3	6	3	5	4	2	5	6	3	3	2	2	4	9	5	0	1	6
Dhtkd1	5	11	0	15	7	5	12	14	3	19	1	12	4	16	2	7	1	5	6	3	2	5	3	5	2	7	3	3	2	5	4	10
Dhx15	4	8	5	16	2	12	7	14	11	13	7	17	3	7	3	5	13	18	21	17	15	27	15	13	18	12	12	28	10	19	16	30
Dhx16	2	0	2	14	3	4	3	11	4	12	3	14	3	8	1	7	6	5	12	10	5	10	5	8	5	5	6	13	8	4	5	19
Dhx29	6	3	3	7	3	8	5	11	4	15	2	10	3	7	2	9	5	9	11	10	2	7	4	5	5	5	6	6	11	7	5	8
Dhx30	3	9	6	22	5	5	3	6	7	22	3	20	3	14	4	6	8	22	15	16	17	18	17	15	14	17	14	27	9	13	28	30
Dhx32	4	7	6	5	5	5	6	13	6	9	2	14	1	7	4	10	4	3	4	5	4	0	4	2	1	3	4	9	5	4	1	5
Dhx33	0	7	1	13	3	11	5	11	4	13	5	14	10	10	3	6	4	7	8	4	3	7	2	3	4	6	2	11	3	4	5	11
Dhx34	8	9	2	9	2	5	9	12	7	13	2	14	5	9	2	10	6	5	3	6	5	6	2	3	3	7	3	6	2	1	2	9
Dhx35	3	4	4	16	3	8	2	3	3	6	1	11	3	15	3	6	1	0	3	3	3	3	2	4	2	1	2	3	1	4	1	8
Dhx36	4	9	9	15	1	10	3	8	2	17	1	19	7	10	4	5	25	13	22	21	11	22	14	13	11	20	9	20	21	10	25	34
Dhx37	4	8	9	11	1	6	3	11	1	18	6	14	4	7	1	7	2	6	12	3	1	4	6	6	1	3	5	6	4	3	3	8
Dhx38	3	9	7	12	5	7	3	9	0	9	4	16	0	8	4	8	8	5	10	8	6	12	8	9	5	11	4	19	6	6	12	14
Dhx40	5	9	5	17	3	8	7	8	3	12	2	10	2	4	2	1	4	6	7	2	4	5	4	5	2	11	4	5	6	3	12	8
Dhx57	2	8	6	11	5	8	5	14	9	14	2	16	6	6	4	8	9	16	11	18	10	19	13	14	9	11	11	15	13	8	11	21
Dhx58	3	6	6	11	1	9	3	7	7	10	3	10	9	7	5	7	0	4	1	0	0	1	1	4	2	2	6	4	4	0	3	4
Dhx8	2	3	7	9	1	3	4	10	1	10	7	14	1	9	3	7	5	5	4	4	3	4	2	8	3	5	6	8	4	7	5	10
Dhx9	2	7	8	11	1	7	0	12	1	9	4	21	0	9	6	7	29	23	26	21	28	27	12	23	21	17	15	41	22	31	42	47
Diablo	3	13	5	13	4	7	4	8	6	20	8	14	1	15	6	9	3	11	11	19	12	11	4	16	9	5	8	24	9	6	10	25
Diaph1	5	9	2	12	2	7	5	13	3	10	6	15	4	13	3	11	3	5	6	5	3	8	4	6	6	5	9	4	4	3	6	8
Diaph2	5	8	4	12	2	6	8	9	7	14	5	15	2	14	2	10	3	12	5	5	3	8	6	5	4	6	2	5	3	3	7	11
Diaph3	2	10	8	13	3	3	2	6	6	8	4	12	5	7	3	8	2	3	4	1	3	2	1	3	2	2	2	6	1	4	2	5
Dicer1	4	8	5	11	11	12	4	4	5	15	2	10	9	10	0	7	6	15	7	6	4	9	6	14	5	7	6	12	7	8	9	17
Dido1	3	8	4	8	2	10	5	18	8	18	6	21	5	15	9	7	6	13	13	17	8	16	14	15	10	6	5	25	9	8	8	25
Dimt1	6	12	1	3	2	6	5	9	6	18	6	13	2	6	6	5	3	11	5	5	3	14	1	10	5	10	6	18	7	8	6	15
Dio1	2	7	1	10	3	10	2	6	0	11	4	18	5	10	2	9	2	1	3	0	1	1	1	2	1	1	1	6	2	0	2	3
Dio2	3	9	4	16	3	7	8	23	12	16	3	21	2	19	3	7	3	4	4	1	2	4	0	1	3	0	1	5	3	3	2	7
Dio3	4	7	8	17	2	4	4	9	5	8	3	17	2	11	4	4	2	1	3	1	1	3	2	4	3	0	3	1	1	1	3	4
Dip2a	3	12	5	7	1	6	4	12	4	11	3	19	5	6	4	3	6	6	12	5	0	13	14	16	5	12	4	13	10	4	16	26
Dip2b	3	11	3	14	4	12	6	10	6	7	4	22	4	10	3	15	9	25	14	25	12	29	11	20	14	24	11	32	11	15	14	38
Dip2c	5	9	6	15	3	4	5	16	0	14	3	21	4	7	4	10	12	23	15	15	13	18	6	17	13	31	21	32	17	19	15	35
Dipk1a	5	6	6	9	5	6	19	6	2	14	5	13	3	13	4	7	16	16	14	21	23	15	9	12	16	14	11	23	26	11	17	29
Dipk1b	2	10	6	9	1	8	5	13	11	12	4	14	2	8	3	4	26	29	35	32	28	30	17	34	16	34	23	47	25	24	30	55
Dipk1c	3	3	3	5	3	3	2	7	3	7	3	14	4	5	0	2	2	1	1	2	2	1	0	0	1	0	0	3	2	0	1	1
Dipk2a	3	7	2	13	3	3	7	16	4	12	3	13	0	14	5	3	8	6	4	4	3	5	2	6	4	5	4	6	4	5	3	10
Dipk2b	3	6	2	6	1	6	5	10	4	13	2	9	3	8	3	3	1	2	5	3	1	4	1	1	2	1	4	1	0	1	1	3
Diras1	1	5	4	4	1	5	6	6	2	9	3	9	3	8	3	5	2	5	1	2	3	8	0	2	3	2	1	7	3	5	3	5
Diras2	1	6	8	10	0	4	4	8	4	8	3	10	5	7	2	4	15	8	18	11	8	20	13	16	10	16	6	27	11	5	19	28
Dis3	4	5	6	19	5	12	7	15	3	10	2	11	3	12	1	6	6	8	5	9	2	7	1	6	2	2	1	6	3	6	4	9
Dis3l	5	9	10	12	2	8	3	9	5	11	0	18	3	10	6	6	5	12	7	13	5	15	4	12	4	7	2	11	6	8	7	16
Dis3l2	3	5	5	8	3	6	5	8	4	14	2	10	2	12	3	8	9	6	6	8	5	5	5	12	3	7	4	10	8	2	14	15
Disc1	2	8	4	15	3	5	3	8	4	9	4	18	5	7	4	11	1	1	1	1	1	0	2	2	1	3	0	3	1	1	3	5
Disp1	3	14	5	12	0	6	4	12	2	22	5	13	3	9	0	9	4	2	7	3	5	6	7	6	6	7	5	9	5	5	5	10
Disp2	0	3	2	13	2	5	2	9	2	4	6	12	1	5	2	10	278	172	265	158	233	176	143	147	187	148	225	279	284	119	265	251
Disp3	2	2	2	4	3	6	3	12	3	9	4	15	5	9	2	4	2	6	3	3	3	6	5	4	5	6	2	6	3	7	4	6
Dixdc1	2	1	2	8	2	3	6	7	2	7	2	8	5	7	2	6	2	1	1	1	1	1	0	5	3	1	4	4	0	1	0	4
Dkc1	2	1	3	12	3	6	4	7	5	12	4	7	1	7	3	8	1	5	4	4	5	6	3	3	5	4	6	7	2	3	1	6
Dkk1	2	12	1	8	3	4	1	7	7	7	3	9	3	2	3	4	0	5	2	5	1	1	2	3	3	0	2	1	2	2	2	7
Dkk2	2	6	5	10	5	2	6	8	3	9	5	21	3	8	4	8	1	0	2	3	1	0	1	1	2	0	2	1	2	0	2	2
Dkk3	5	17	7	20	7	14	3	12	7	18	7	26	1	13	3	11	80	10	97	18	61	12	62	30	76	4	104	22	83	14	99	30
Dkk4	4	8	4	8	2	6	5	12	7	9	4	13	2	6	2	4	3	1	0	2	1	1	3	1	1	1	4	2	2	0	1	3
Dkkl1	0	7	9	7	4	8	3	12	5	12	3	13	4	13	7	6	2	1	3	2	1	0	2	2	1	6	0	2	1	1	0	4
Dlat	3	6	3	16	2	4	11	8	7	11	7	12	3	11	1	10	34	29	23	32	28	39	14	31	26	33	27	61	31	24	42	60
Dlc1	3	5	6	8	0	10	3	10	2	13	4	13	3	8	5	4	0	6	1	0	1	4	0	2	1	2	3	5	2	0	1	0
Dld	3	8	7	20	0	4	4	13	4	13	4	21	1	13	3	13	28	28	23	21	21	32	14	27	9	20	20	53	28	23	26	41
Dlec1	3	3	9	8	4	4	3	5	4	5	3	11	3	11	3	9	0	2	8	2	0	2	0	2	1	4	2	4	4	1	1	5
Dleu7	3	5	3	15	2	3	3	12	4	11	6	12	3	6	0	7	7	5	4	3	7	3	4	8	12	6	15	16	12	8	15	14
Dlg1	3	6	8	11	5	8	8	12	6	15	4	15	2	13	3	11	12	12	18	11	11	15	12	9	11	9	8	14	10	14	9	18
Dlg2	4	5	1	11	1	2	0	6	1	6	3	15	1	9	0	3	14	23	15	18	16	20	8	8	11	23	11	28	10	21	19	31
Dlg3	4	11	3	11	1	7	6	11	6	16	3	22	4	9	3	7	4	11	5	9	10	16	4	6	4	9	7	11	9	7	8	19
Dlg4	0	8	0	9	3	4	9	11	1	19	3	10	4	8	4	10	66	49	57	58	52	61	42	41	40	38	49	96	46	56	77	112
Dlg5	5	10	6	8	4	8	3	8	4	9	4	12	7	6	2	7	5	11	3	2	2	5	5	5	2	6	3	5	3	3	4	11
Dlgap1	7	4	5	11	3	5	6	8	2	8	4	11	0	4	4	7	12	6	14	7	11	10	6	9	7	10	7	15	8	3	7	10
Dlgap2	1	3	2	11	1	4	2	9	6	5	3	8	2	4	2	6	4	12	8	8	6	11	7	7	13	12	6	16	6	11	11	15
Dlgap3	4	5	9	6	2	9	4	8	6	11	7	11	4	11	5	5	9	6	11	4	7	9	10	6	9	4	19	17	5	2	6	10
